id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,license,,,,,,
22157000,Porto Yacht - Douro Charter,161812796,João,PORTO,Campanhã,41.14351,-8.57861,Entire home/apt,250,1,0,,,1,89,Registo n.º: 237/2010 (4 de Maio) - Turismo Portugal,,,,,,
22163067,Singles Room Lindo Vale,57575950,Sacha,PORTO,Paranhos,41.16529,-8.60034,Private room,,4,18,2024-05-22,0.22,8,0,60338/AL,,,,,,
22163268,GuestReady - São Domingos Apartments,364783572,GuestReady,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1437,-8.61381,Entire home/apt,167,1,392,2024-12-08,4.89,135,309,59914/AL,,,,,,
22163721,Always Porto Apartamento,161886966,Always,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.12585,-8.60796,Entire home/apt,109,2,50,2022-08-17,0.68,1,330,49682/AL,,,,,,
22164276,São Luís Guesthouse,161890731,Raquel,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14312,-8.60684,Entire home/apt,,2,1,2018-01-01,0.01,2,0,60606/AL,,,,,,
22164914,GuestReady - São Domingos Apartments,364783572,GuestReady,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14393,-8.61611,Entire home/apt,98,1,310,2024-12-09,3.65,135,321,59928/AL,,,,,,
22164998,GuestReady - São Domingos Apartments,364783572,GuestReady,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14244,-8.61553,Entire home/apt,219,1,454,2024-12-09,5.33,135,275,59930/AL,,,,,,
22165075,GuestReady - São Domingos Apartments,364783572,GuestReady,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14337,-8.61581,Entire home/apt,73,1,264,2024-11-28,3.14,135,330,59932/AL,,,,,,
22173156,Doble Room Lindo Vale,57575950,Sacha,PORTO,Paranhos,41.16529,-8.60034,Private room,,4,29,2024-06-24,0.34,8,0,60338/AL,,,,,,
22188738,Póvoa City Center Apartment,85911143,Manuel,PÓVOA DE VARZIM,"Póvoa de Varzim, Beiriz e Argivai",41.37724,-8.75546,Entire home/apt,59,2,33,2024-11-03,0.41,2,110,60268/AL,,,,,,
22188749,Downtown Apartment with terrace,508000,Mario,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14401,-8.61002,Entire home/apt,79,3,237,2024-11-09,2.8,2,342,55022/AL,,,,,,
22202939,Campervan Freedom,83679714,HoW,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14585,-8.6056,Entire home/apt,155,2,0,,,1,365,Exempt,,,,,,
22206837,Family's house at Porto,162270960,Artur,PORTO,Bonfim,41.15995,-8.59591,Entire home/apt,229,2,70,2024-10-27,0.86,1,318,63363/AL,,,,,,
22213499,Double Room Blue Rustic Oporto,112414441,Florbela,PORTO,Bonfim,41.14682,-8.59027,Private room,44,3,3,2023-11-17,0.04,3,364,57429/AL,,,,,,
22220055,Casa do BebeDouro,162365631,Nuno,PORTO,Bonfim,41.14771,-8.60189,Entire home/apt,33,4,173,2024-10-28,2.04,2,66,59898/AL,,,,,,
22238177,Bruval Premium Apartments - Ribeira 3º,250250069,Valter,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14269,-8.61362,Entire home/apt,36,1,18,2023-04-29,0.23,13,358,78242/AL,,,,,,
22248461,Forrester House Porto,162571981,Maria Adelaide,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15767,-8.61851,Entire home/apt,,2,17,2019-09-20,0.2,1,0,56448/AL,,,,,,
22255638,Penthouse · Penthouse · Penthouse · Penthouse · Pe,156334940,Cheila,VILA DO CONDE,Vila do Conde,41.35315,-8.74332,Private room,,2,0,,,7,0,59537/AL,,,,,,
22255795,GuestReady - Office Residence 1,364783572,GuestReady,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14536,-8.61311,Private room,74,1,211,2024-12-01,2.54,135,13,116451/AL,,,,,,
22256384,GuestReady - Office Residence 2,364783572,GuestReady,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14383,-8.61115,Private room,79,1,259,2024-12-02,3.31,135,11,116451/AL,,,,,,
22256463,GuestReady - Office Residence 6,364783572,GuestReady,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14556,-8.61311,Private room,65,1,128,2024-10-26,1.86,135,14,116451/AL,,,,,,
22256801,GuestReady - Office Residence,162632369,Isabel,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14585,-8.61256,Private room,75,1,255,2024-11-26,3.66,1,14,116451/AL,,,,,,
22256985,GuestReady - Office Residence 7,364783572,GuestReady,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14588,-8.61096,Private room,62,1,119,2024-11-24,2.21,135,17,26904/AL,,,,,,
22257193,GuestReady - Office Residence 4,364783572,GuestReady,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14459,-8.61283,Private room,62,1,85,2024-10-13,1.09,135,13,116451/AL,,,,,,
22257308,GuestReady - Office Residence 5,364783572,GuestReady,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14466,-8.61136,Private room,63,1,90,2024-11-16,1.7,135,15,116451/AL,,,,,,
22259769,Cabanelas Country House Casa do Afonso,145354573,Luis,VALE DE CAMBRA,Macieira de Cambra,40.88459,-8.34462,Entire home/apt,51,1,191,2024-10-05,2.29,2,343,47488/AL,,,,,,
22290007,Secret Garden,162908398,Carlos,PORTO,Campanhã,41.1463,-8.58333,Entire home/apt,146,2,28,2024-10-12,0.34,1,153,60473/AL,,,,,,
21760009,"1,5KM FROM PONTE D LUIZ",99208391,Ana,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.1329,-8.62224,Entire home/apt,48,3,54,2024-11-24,0.63,1,365,24027/2019,,,,,,
21762139,Liiiving in Porto | Santa Catarina Luxury Apt. I,30907275,Liiiving,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15108,-8.6054,Entire home/apt,156,2,49,2024-08-15,0.59,115,322,54125/AL,,,,,,
21763051,Saramago · Saramago · Saramago · Saramago · Sarama,156334940,Cheila,VILA DO CONDE,Vila do Conde,41.35275,-8.74193,Private room,,1,1,2022-04-22,0.03,7,0,59537/AL,,,,,,
21764351,LOFT SÁ DE NORONHA 43,158567852,Luísa E Pedro,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1487,-8.61417,Entire home/apt,60,2,187,2024-12-01,2.21,1,278,59912/AL,,,,,,
21764883,PORTO  Loft with private parking &  lovely garden,47014420,Mr LEGRIS Julien,PORTO,Bonfim,41.16164,-8.60034,Entire home/apt,102,2,97,2024-10-28,1.15,3,0,59070/AL,,,,,,
21781225,Antela Beach Apartament,158706848,Tadeu,MATOSINHOS,"Perafita, Lavra e Santa Cruz do Bispo",41.25779,-8.71695,Entire home/apt,,3,7,2019-08-30,0.09,1,0,,,,,,,
21795489,Apartamento ao Sol JORVAJOR,155218669,Lara,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.11875,-8.61019,Entire home/apt,,1,21,2018-11-04,0.26,1,0,62273/AL,,,,,,
21807569,Moderno Apartamento com Vista,93594275,Five Seven Nine,PORTO,Lordelo do Ouro e Massarelos,41.15692,-8.62963,Entire home/apt,145,1,21,2024-08-17,0.32,2,338,38441/AL,,,,,,
21817249,Academic Home - ( Ideal for groups and families),143943427,Rui,PORTO,Paranhos,41.17745,-8.60891,Entire home/apt,140,3,29,2024-08-26,0.37,1,134,,,,,,,
21825371,Casa do Ofício - Caldeireiro 1,159104218,Casa Do Ofício,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14515,-8.61453,Entire home/apt,74,2,38,2024-04-24,0.44,10,233,118036/AL,,,,,,
21835200,Madalena Casa do gato Liam,159205434,Henrique,VILA NOVA DE GAIA,Madalena,41.11063,-8.63053,Shared room,,1,0,,,1,0,,,,,,,
21854514,Cosy House in Lapa,129307486,Tiago,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15929,-8.61286,Entire home/apt,,1,16,2019-06-09,0.19,5,0,,,,,,,
21854844,"Large room, sunny balcony in the heart of old town",38145390,Paulo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14558,-8.61352,Private room,55,3,264,2024-10-27,3.09,8,267,,,,,,,
21857346,"Appartment ""Ponte da Arrábida""",158187683,Rui,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14835,-8.61232,Entire home/apt,68,1,18,2024-10-14,0.3,11,296,,,,,,,
21861799,"Appartment ""Torre dos Clérigos""",158187683,Rui,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14922,-8.61297,Entire home/apt,74,1,5,2022-09-18,0.12,11,302,,,,,,,
21864568,Casa do Ofício - Caldeireiro 3,159104218,Casa Do Ofício,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14614,-8.61464,Entire home/apt,74,2,115,2024-10-09,1.35,10,299,118036/AL,,,,,,
21873772,Foz Velha House,159562602,Qualitalento,PORTO,"Aldoar, Foz do Douro e Nevogilde",41.15125,-8.66548,Entire home/apt,211,2,27,2024-10-31,0.35,1,355,5984/AL,,,,,,
21874576,D'ALMA - Metro Loft,159564968,Luisa Gonçalves,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15248,-8.60876,Entire home/apt,61,2,125,2024-10-07,1.53,1,358,32588/AL,,,,,,
21874712,Casa do Ofício - Caldeireiro 4,159104218,Casa Do Ofício,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14556,-8.61447,Entire home/apt,74,2,97,2024-10-04,1.13,10,312,118036/AL,,,,,,
21876162,Oporto Ceuta Residences® - Residence 2 - By WDL,247404054,We Do Living,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14801,-8.61314,Entire home/apt,,2,43,2023-03-19,0.51,5,353,59828/AL,,,,,,
21877840,Quality in tranquilty – 3 bedroom apartment,159593200,Joaquim,PORTO,Ramalde,41.1688,-8.63329,Entire home/apt,,2,47,2020-01-02,0.55,1,0,87588/AL,,,,,,
21878591,dvnest Torrinha | Studio Apartment downtown,29221136,Dvnest,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15238,-8.61927,Entire home/apt,750,1,214,2020-03-14,2.5,15,90,59042/AL,,,,,,
21883829,Terraço,159338053,Diana,SANTA MARIA DA FEIRA,"Lobão, Gião, Louredo e Guisande",40.97947,-8.4592,Entire home/apt,50,4,14,2024-11-09,0.22,2,188,,,,,,,
21883965,Charmoso T1 com Varanda na Trindade by Guestify,132601835,Guestify,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15045,-8.60978,Entire home/apt,85,1,26,2024-08-03,0.3,30,215,37793/AL,,,,,,
21884102,Espaçoso e Luminoso Estúdio naTrindade by Guestify,132601835,Guestify,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15045,-8.60978,Entire home/apt,77,1,10,2024-07-15,0.12,30,246,37784/AL,,,,,,
21884331,Confortável e Luminoso Studio @Trindade byGuestify,132601835,Guestify,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15045,-8.60978,Entire home/apt,76,1,8,2023-04-07,0.09,30,233,84085/AL,,,,,,
21884501,Acolhedor Estúdio na Trindade by Guestify,132601835,Guestify,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15045,-8.60978,Entire home/apt,64,1,15,2023-03-31,0.18,30,254,37786/AL,,,,,,
21884566,Encantador estúdio na Trindade by Guestify,132601835,Guestify,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15045,-8.60978,Entire home/apt,78,1,26,2023-03-08,0.3,30,209,37781/AL,,,,,,
21887791,Madalena Beach Apartment,71810730,Sónia,VILA NOVA DE GAIA,Madalena,41.10779,-8.66072,Entire home/apt,75,2,37,2024-11-12,0.45,20,295,60025/AL,,,,,,
21906815,Sea & City Apartment,74441841,Garrett,PÓVOA DE VARZIM,"Póvoa de Varzim, Beiriz e Argivai",41.380012,-8.765222,Entire home/apt,65,6,33,2024-09-10,0.84,4,181,136058/AL,,,,,,
21907458,Casa do Ofício - Caldeireiro 2,159104218,Casa Do Ofício,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14519,-8.61455,Entire home/apt,74,2,99,2024-09-03,1.17,10,240,118036/AL,,,,,,
21908531,Casa do Ofício - Caldeireiro 5,159104218,Casa Do Ofício,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1453,-8.61462,Entire home/apt,74,2,124,2024-10-31,1.52,10,275,118036/AL,,,,,,
21925716,The Bohemian Nest | Fernandes Tomás,140101314,Catarina,PORTO,Bonfim,41.1487,-8.60026,Entire home/apt,105,2,72,2024-10-26,0.84,8,304,58680/AL,,,,,,
21945806,Oporto Ceuta Residences® - Residence 6 by WDL,247404054,We Do Living,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14951,-8.614,Entire home/apt,118,2,40,2024-09-13,0.49,5,361,59813/AL,,,,,,
21948032,Inn Oporto Oldtown Apartments,75279449,Fernando,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.146042,-8.610201,Entire home/apt,80,2,324,2024-11-29,3.82,12,209,59380/AL,,,,,,
21954916,Residences 9 From Hello Porto Ceuta in Classic 1950 Building,160275966,Hello,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14835,-8.61374,Entire home/apt,93,1,39,2024-09-08,0.49,2,15,59816/AL,,,,,,
21956593,The Bohemian Nest | Fernandes Tomás | Bedroom#1,140101314,Catarina,PORTO,Bonfim,41.14847,-8.59936,Private room,34,2,130,2024-11-05,1.52,8,48,58680/AL,,,,,,
21957278,Explore Porto from a Radiant Apartment with a Balcony,160275966,Hello,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14851,-8.61374,Entire home/apt,91,1,75,2024-09-02,0.93,2,2,59816/AL,,,,,,
21959692,Ocean Avenue Apartment,160312057,Amaro,MATOSINHOS,Matosinhos e Leça da Palmeira,41.20225,-8.71134,Entire home/apt,,6,0,,,1,0,,,,,,,
21959774,Oporto Ceuta Residences® - Residence 8 by WDL,247404054,We Do Living,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14792,-8.61309,Entire home/apt,91,2,14,2024-10-04,0.18,5,355,,,,,,,
21961905,The Bohemian Nest | Fernandes Tomás | Bedroom#2,140101314,Catarina,PORTO,Bonfim,41.1489,-8.59864,Private room,34,2,111,2024-09-08,1.32,8,48,58680/AL,,,,,,
21972089,Porto Emotions - Caldeireiros 2 in City's Historic Heart,160418271,Tomás,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1455,-8.61276,Entire home/apt,81,3,257,2024-11-28,3.01,2,316,42590/AL,,,,,,
21977908,"Appartment ""Palácio da Bolsa""",158187683,Rui,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1489,-8.61288,Entire home/apt,63,1,28,2022-06-12,0.33,11,280,,,,,,,
21987712,House of Artists - Augusto Alves da Silva,134486318,House,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14448,-8.61358,Private room,,1,2,2021-08-20,0.05,6,364,,,,,,,
21989862,Appartment Sé do Porto,158187683,Rui,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14916,-8.61297,Entire home/apt,74,1,0,,,11,349,,,,,,,
21990730,"Appartment ""Mosteiro S. Bento da Vitória""",158187683,Rui,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1489,-8.61288,Entire home/apt,63,1,10,2024-05-04,0.15,11,290,,,,,,,
21993365,"Appartment ""Castelo do Queijo""",158187683,Rui,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1489,-8.61288,Entire home/apt,68,1,25,2024-11-18,0.61,11,363,,,,,,,
21994814,"Appartment ""Ponte D. Luís""",158187683,Rui,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1489,-8.61288,Entire home/apt,68,1,9,2023-04-04,0.22,11,276,,,,,,,
22009518,Matosinhos Apartment,160718887,Matosinhos,MATOSINHOS,Matosinhos e Leça da Palmeira,41.18031,-8.68507,Entire home/apt,,4,0,,,1,0,40458/AL,,,,,,
22010470,"Appartment ""Estação de S. Bento""",158187683,Rui,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1488952636719,-8.61287975311279,Entire home/apt,,1,1,2019-07-14,0.02,11,322,,,,,,,
22011971,"Appartament ""Casa da Música""",158187683,Rui,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1489,-8.61288,Entire home/apt,68,1,3,2024-09-09,0.07,11,320,,,,,,,
22013467,The Green House / A Casa Verde - Free parking,116434359,Pedro,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15748,-8.61091,Entire home/apt,70,2,148,2024-10-28,1.75,1,292,59425/AL,,,,,,
22013617,Porto Emotions - Caldeireiros 1,160418271,Tomás,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1452,-8.61259,Entire home/apt,77,3,189,2024-11-03,2.21,2,357,42587/AL,,,,,,
22028975,Fernando Pessoa · Fernando Pessoa · Fernando Pesso,156334940,Cheila,VILA DO CONDE,Vila do Conde,41.35386,-8.74208,Private room,,1,2,2023-08-23,0.1,7,0,59537/AL,,,,,,
22048358,"Economical,Convenient&Very close to all attraction",161026781,Nuz,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13298,-8.60751,Shared room,,1,21,2018-07-18,0.25,1,0,Exempt,,,,,,
22048407,The Bohemian Nest | Fernandes Tomás | Bedroom#3,140101314,Catarina,PORTO,Bonfim,41.14979,-8.60125,Private room,33,2,100,2024-09-14,1.19,8,48,58680/AL,,,,,,
22056335,Oporto Campo Alegre Apartment,161095817,Rosário,PORTO,Lordelo do Ouro e Massarelos,41.15132,-8.64986,Entire home/apt,73,1,68,2024-10-29,0.83,2,9,61714/AL,,,,,,
22062557,Appartement cosy à Povoa de Varzim,53165693,Jean,PÓVOA DE VARZIM,"AVer-o-Mar, Amorim e Terroso",41.39411,-8.77445,Entire home/apt,,7,5,2024-08-24,0.15,1,9,57402/AL,,,,,,
22586719,Porto View 2B: Two-Bedroom APARTMENT [River View],41445904,Patio 25,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13882,-8.60938,Entire home/apt,189,1,79,2024-11-12,1.03,7,239,79523/AL,,,,,,
22593699,FLH New Oporto Apartments - São Bento I,3953109,Feels Like Home,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1456451416016,-8.61105823516846,Entire home/apt,,1,97,2024-07-18,2.25,75,0,21837/AL,,,,,,
22594127,FLH New Oporto Apartments - São Bento II,3953109,Feels Like Home,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1456451416016,-8.61105823516846,Entire home/apt,,1,28,2024-05-06,0.36,75,0,22694/AL,,,,,,
22599533,O Ninho | Port Wine Cellars - Double Room,166237958,Cláudio & Bruno,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13368,-8.62235,Private room,33,1,28,2024-10-11,0.35,14,0,93962/AL,,,,,,
22616469,My Porto Loft II B - The Vintage Garden House,52161391,Fernando,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14958,-8.60748,Entire home/apt,39,2,198,2024-12-08,2.42,4,130,113899/AL,,,,,,
22624367,Casa D´ouro,166541664,Aqno,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14729,-8.6157,Entire home/apt,46,2,179,2024-11-01,2.19,4,276,72527/AL,,,,,,
22633333,Historic area near the Douro ‒ Design studio,149060639,Matthieu,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13468,-8.61164,Entire home/apt,51,2,181,2024-10-14,2.22,4,258,59791/AL,,,,,,
22642300,Porto River View Apartment,159567291,Francisca,PORTO,Lordelo do Ouro e Massarelos,41.15065,-8.65265,Entire home/apt,70,2,12,2024-09-29,0.18,2,353,37242/AL,,,,,,
22642434,Porto View 3: Two-Bedroom DUPLEX [River View],41445904,Patio 25,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13882,-8.60938,Entire home/apt,191,1,44,2024-08-24,0.58,7,290,79530/AL,,,,,,
22652468,Comfy & sunny room in city centre 621 2T,2606384,Fernanda,PORTO,Bonfim,41.15286,-8.60323,Private room,26,6,32,2024-10-31,1.21,10,264,Exempt,,,,,,
22677830,Cocooning Appartement Porto,32027643,Aurélie,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.12859,-8.60768,Entire home/apt,48,2,71,2024-11-18,0.88,1,222,63849/AL,,,,,,
22678829,4-Suites Batalha Residence,167137013,Pedro,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.146461,-8.607074,Entire home/apt,234,1,218,2024-12-01,2.65,14,260,58828/AL,,,,,,
22681646,Helena House,167165655,Ana Lapa,MATOSINHOS,São Mamede de Infesta e Senhora da Hora,41.18875,-8.65404,Entire home/apt,200,1,44,2024-07-29,0.54,1,40,90088/AL,,,,,,
22681941,Riverside City Centre Deluxe,95088635,Hugo,PORTO,Bonfim,41.14206,-8.59849,Entire home/apt,79,4,33,2024-11-04,0.51,3,359,118688/AL,,,,,,
22683287,Iconic Nightlife Studio 204,2228036,Rui,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14615,-8.61539,Entire home/apt,59,1,3,2021-11-26,0.04,112,365,82081/AL,,,,,,
22683288,Cashmere Nightlife Studio 202,2228036,Rui,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14725,-8.61493,Entire home/apt,59,1,5,2024-09-23,0.07,112,365,82071/AL,,,,,,
22683289,On Trend Nightlife Studio 203,2228036,Rui,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14815,-8.61381,Entire home/apt,59,1,41,2024-11-10,0.51,112,359,86086/AL,,,,,,
22683290,Iconic Nightlife Studio 304,2228036,Rui,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1466,-8.61466,Entire home/apt,59,1,4,2022-10-02,0.08,112,361,52708/AL,,,,,,
22320118,Liiiving in Porto | Downtown View Apartment,30907275,Liiiving,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.153698,-8.609505,Entire home/apt,43,2,8,2022-08-22,0.11,115,323,57199/AL,,,,,,
22320246,Porto Historical Center Apartment,163176060,Paulo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14409,-8.61723,Entire home/apt,38,2,334,2024-11-11,3.95,1,358,84033/AL,,,,,,
22335999,Lapa 32 - 1º Frt,37066714,Diogo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15879,-8.61418,Entire home/apt,36,1,13,2024-11-02,0.3,48,281,61127/AL,,,,,,
22352186,Porto View 0A: STUDIO Apartment,41445904,Patio 25,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13882,-8.60938,Entire home/apt,97,1,57,2024-05-02,0.75,7,310,79497/AL,,,,,,
22358460,Porto View 0B: STUDIO Apartment,41445904,Patio 25,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13882,-8.60938,Entire home/apt,96,1,13,2024-11-11,0.17,7,270,79504/AL,,,,,,
22358916,Porto View 1A: One-Bedroom APARTMENT [River View],41445904,Patio 25,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13882,-8.60938,Entire home/apt,138,1,134,2024-10-10,1.74,7,261,509383165,,,,,,
22374395,Mouzinho Cosy Loft,130805492,Marta,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1435356140137,-8.61296272277832,Entire home/apt,52,2,265,2024-11-24,3.13,51,323,60618/AL,,,,,,
22384648,"Douro, Q.ª dos Espigueiros - Pombal",34499587,Ana Rute,GONDOMAR,Lomba,41.06463,-8.41402,Entire home/apt,120,2,41,2024-09-05,0.52,9,360,Exempt,,,,,,
22385398,Liiiving in Porto | Central Secret Terrace,30907275,Liiiving,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14684,-8.60237,Entire home/apt,71,2,81,2024-08-03,0.96,115,319,61074/AL,,,,,,
22386810,Quarto Privado,118808347,Fernanda,PORTO,Ramalde,41.17299,-8.63877,Private room,,3,0,,,1,0,Exempt,,,,,,
22395536,Palmela's Romantic Terrace by ESM Rental,132794596,ESM Rental,PORTO,Bonfim,41.14365,-8.597063,Entire home/apt,55,1,94,2024-11-26,1.11,13,260,61270/AL,,,,,,
22403431,CL Ildefonso II Apartment,112290924,António,PORTO,Bonfim,41.14598,-8.60158,Entire home/apt,112,2,263,2024-12-01,3.11,14,177,61439/AL,,,,,,
22410496,Urban cabin,185492,Gabriela,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13094,-8.6295,Entire home/apt,76,3,126,2024-09-22,2.02,1,168,134223/AL,,,,,,
22414731,Elegant Apartment in the Heart of Porto,35946202,Dino & Ines,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15213,-8.6118,Entire home/apt,97,3,350,2024-12-09,4.14,3,145,61007/AL,,,,,,
22418626,Casa beira-rio - HS house,55554981,Hugo,VILA DO CONDE,Vila do Conde,41.3514,-8.73954,Entire home/apt,,3,9,2018-08-25,0.11,1,0,61093/AL,,,,,,
22430272,Liiiving in Matosinhos - High Sea Condo,30907275,Liiiving,MATOSINHOS,Matosinhos e Leça da Palmeira,41.17781,-8.69165,Entire home/apt,1044,180,30,2023-06-17,0.37,115,365,Pedido nº 261913,,,,,,
22432331,New! Super cozy bedroom in Porto city center!,164301082,Alexandre,PORTO,Bonfim,41.15273,-8.60246,Private room,33,2,238,2024-11-04,2.84,3,85,61574/AL,,,,,,
22434015,Apartmento Centro do Porto -  Downtown,122231984,Emilia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14686,-8.60207,Entire home/apt,69,4,115,2024-11-01,1.42,3,180,67612/AL,,,,,,
22435390,Wonhnung in tipisch dorf norden portugal,163361767,Mario,SANTO TIRSO,Monte Córdova,41.31778,-8.43144,Entire home/apt,180,7,4,2022-08-06,0.06,2,358,1380ml,,,,,,
