id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,license,,,,,,
125872,B&B - Luxury Suite with HQ private bath,625145,Manuel & Family,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.12535,-8.6142,Private room,68,2,241,2022-09-25,1.47,2,365,Exempt,,,,,,
127208,B & B  Room Yoga Garden's Place,630252,Aurora,PORTO,Campanhã,41.1546,-8.58985,Private room,33,2,568,2024-12-14,3.55,1,231,34971/AL,,,,,,
128557,B&B-High Quality room 10min. walk from WineCellars,625145,Manuel & Family,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.12485,-8.6139,Private room,30,2,518,2023-10-29,3.15,2,57,Exempt,,,,,,
134570,Luxury OPO Beachfront Penthouse w/Pools,660293,Natacha,VILA NOVA DE GAIA,Madalena,41.10431,-8.66159,Entire home/apt,430,4,106,2023-10-28,0.69,1,287,2191/AL,,,,,,
139425,"Cozy flat- air cond, rooftop terrace, free parking",680010,Liana,PORTO,Bonfim,41.14622,-8.59423,Entire home/apt,91,2,272,2024-10-27,1.66,7,354,4833/AL,,,,,,
141255,Yellow House -  Casa CF,663708,Gabriela,MATOSINHOS,São Mamede de Infesta e Senhora da Hora,41.19266,-8.6615,Private room,125,3,1,2022-07-08,0.03,1,152,96640/AL,,,,,,
155127,Apartment Douro river 5 km to Porto,745984,André,GONDOMAR,"Gondomar (São Cosme), Valbom e Jovim",41.1238,-8.54264,Entire home/apt,85,2,157,2024-11-24,1.02,1,360,,,,,,,
155723,House with EscolaSuperiorEnferma,748789,Margarida M.,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15854,-8.60783,Entire home/apt,,3,6,2017-08-13,0.04,1,0,,,,,,,
169321,Espaçoso e luminoso Apartamento perto de belas artes I,806826,Miguel,PORTO,Bonfim,41.14536,-8.59792,Entire home/apt,143,3,220,2024-11-03,1.38,4,180,5458/AL,,,,,,
186655,Charming Family House with Garden (6981/AL),897112,Helena,PORTO,Lordelo do Ouro e Massarelos,41.15215,-8.65248,Entire home/apt,75,3,259,2024-11-01,1.6,1,61,6981/AL,,,,,,
186946,DESIGN HOUSE OLD TOWN | BALCONY | AIRCO | RIBEIRA,898831,Isabel,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14087,-8.61703,Entire home/apt,122,2,400,2024-11-07,2.48,2,320,52314/AL,,,,,,
191005,Luxury Apartment Downtown - Porto,923371,Carlos,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15328,-8.60758,Entire home/apt,130,3,157,2024-10-28,1.04,2,239,5773/AL,,,,,,
207475,EcoArtistic Nest,1020922,João E Susana,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.12935,-8.61487,Entire home/apt,,2,9,2018-01-03,0.06,1,0,,,,,,,
